"shortZip","state","democratContribution","republicanContribution"
"20191","VA",83665.7,36535.16
"94506","CA",95835.4,24058.23
"63141","MO",41466.35,78358.16
"27516","NC",111966.49,7763.2
"27514","NC",103031.88,16585
"02492","MA",94968.29,24632.49
"07924","NJ",25952.56,93409.72
"27705","NC",93684.67,25578.91
"84060","UT",76458.1,42683.12
"98107","WA",114787.11,4188.64
"94507","CA",70739.04,48173.8
"02144","MA",116487.48,2421.95
"94939","CA",108596.39,10300
"03801","NH",79867.6,38952.15
"92264","CA",99288.97,19332.74
"72701","AR",101927.4,16315.39
"78216","TX",41646.69,76289.55
"33458","FL",38123.19,79799.75
"78258","TX",24818.01,93073.96
"77077","TX",34827.09,82937.95
"70005","LA",28162.9,89599.18
"91030","CA",80616.53,37137.2
"78501","TX",57710.89,60023.91
"94019","CA",64336.08,53390.36
"01810","MA",69091.37,48396.94
"60660","IL",112792.34,4654
"33957","FL",34086.83,83086
"94108","CA",83212.73,33945.16
"90071","CA",44960.5,71964.32
"87107","NM",105815.85,11064.52
"20147","VA",60093.83,56723.91
"98225","WA",104598.03,12210.32
"19119","PA",115646.74,1050
"95816","CA",111789.94,4850
"55331","MN",40654.7,75927.45
"73116","OK",50053.5,66414.29
"07940","NJ",36414.09,79663.2
"92618","CA",36053.09,79859.66
"55105","MN",87610.87,28228
"33186","FL",43588.7,72116.2
"37922","TN",27596.49,87944.51
"19118","PA",99569.23,15967
"44120","OH",78500.8,36965
"41017","KY",45323.89,69999.05
"83001","WY",28706.82,86601
"29607","SC",14534.43,100746.16
"53211","WI",82700.17,32544.6
"22181","VA",81900.64,32972.67
"43082","OH",19985.59,94861.25
"03755","NH",64779.92,49962
"11560","NY",39850.8,74786.09
"33137","FL",84009.35,30575
"11021","NY",87115.09,27439.69
"77584","TX",63615.67,50878.52
"91101","CA",61842.08,52572
"21042","MD",73399.37,40854
"02143","MA",113889.79,335
"91364","CA",86017.13,28040.52
"80303","CO",98435.46,15561
"53705","WI",99017.79,14265.35
"50266","IA",45915.37,67259.46
"85251","AZ",38301.05,74869.47
"02043","MA",82652.36,30508.21
"76226","TX",2648.95,110089
"95746","CA",53291.03,59292.27
"28226","NC",49356.53,63220
"76008","TX",4175,108358
"07701","NJ",63851.84,48660.31
"77433","TX",16764.14,95702.31
"37203","TN",65889.44,46400.8
"11218","NY",110509.25,1709
"94960","CA",108720.83,3358.33
"59715","MT",57118.75,54917.33
"10591","NY",90439.13,21407.76
"98118","WA",104412.25,7381.89
"10506","NY",74337.72,37388
"02474","MA",102939.01,8471.25
"79109","TX",3223.14,108148.32
"95403","CA",56721.82,54616.42
"77063","TX",24231.11,87103.33
"78734","TX",38919.14,72389
"75022","TX",15571.84,95657.73
"72712","AR",38264.19,72879.48
"22003","VA",77117.97,33933.8
"75252","TX",23084.08,87819.46
"92614","CA",62780.84,48115.92
"53711","WI",101909.3,8975
"02111","MA",92751.3,18125.6
"23221","VA",54357.43,56507.5
"94702","CA",110602.75,50
"22043","VA",80092.49,30424
"33304","FL",63531.2,46909.52
"60025","IL",79038.45,31241
"64113","MO",86165.88,24099
"94530","CA",103453.04,6751.5
"95404","CA",66445.5,43639.04
"33609","FL",53296.71,56775.78
"77304","TX",7436.13,102467.83
"66211","KS",52229.34,57493
"91607","CA",89166.51,20440
"20012","DC",104276.9,5329.16
"85259","AZ",32640.82,76880.11
"11545","NY",83298.82,26088.34
"60607","IL",95398.19,13930
"89451","NV",25613.67,83343.43
"28277","NC",37892.74,71031.45
